Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Tot.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Tot,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
192.168.14.155-74.125.167.91-40554-443-6,192.168.14.155,40554,74.125.167.91,443,6,29/11/2019 02:50:03 PM,73819325,1795,3523,5516.0,4893209.0,1260.0,0.0,3.072980501392759,59.40089898475863,2016.0,0.0,1388.932443939824,95.6263459880964,66361.01048065665,72.04075626538172,13883.642091404932,351624.72000533383,1.0227054E7,3.0,6.3957134E7,35650.57636566331,558883.6914614865,1.0240229E7,317.0,7.3819325E7,20959.4903463941,432721.6786440953,1.0240258E7,7.0,0,0,0,0,57440,112752,24.3161258925085,47.72463037287322,0.0,2016.0,920.9860876104531,660.9554597522621,436862.11977632414,1,2,0,47,5317,0,0,0,1.0,921.159270402407,3.072980501392758,1388.932443939824,0,0,0,0,879,1139320,0,1,0,920,-1,300,6,0,0,0,0,0,1.5747247487756795E15,2.1601995316947465E13,1.575021067274416E15,9822097.0,No Label
192.168.14.155-74.125.167.91-40554-443-6,192.168.14.155,40554,74.125.167.91,443,6,29/11/2019 02:51:17 PM,30,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1033333.3333333333,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,33333.333333333336,33333.333333333336,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,0,0,0,15,-1,2357,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.241-192.168.14.245-80-3981-6,192.168.14.245,3981,192.168.14.241,80,6,29/11/2019 02:51:18 PM,2514,4,1,78.0,0.0,78.0,0.0,19.5,39.0,0.0,0.0,0.0,0.0,31026.252983293554,1988.8623707239458,628.5,365.1424379608593,1017.0,317.0,1651.0,550.3333333333334,404.14518843273805,1017.0,317.0,0,0,0,0,0,0,0,0,0,80,28,1591.0898965791566,397.77247414478916,0.0,78.0,13.0,31.843366656181317,1014.0,1,1,0,1,4,0,0,0,0.0,15.6,19.5,0.0,0,0,0,0,0,0,0,15,0,0,-1,8192,1,0,0,0,0,0,1.5750210785689205E15,1105.2078989945737,1.575021078569702E15,1.575021078568139E15,No Label
172.217.19.164-192.168.14.155-443-54334-6,192.168.14.155,54334,172.217.19.164,443,6,29/11/2019 02:49:27 PM,111640388,6,4,102.0,117.0,39.0,0.0,17.0,19.411336893681487,39.0,0.0,29.25,19.5,1.9616556689143718,0.08957331821526812,1.2404487555555556E7,2.463799820372147E7,5.8768945E7,25.0,1.11581104E8,2.23162208E7,3.062278079803761E7,5.8768945E7,25.0,5.8844902E7,1.9614967333333332E7,3.395962716403873E7,5.8828166E7,314.0,0,1,0,0,192,128,0.05374399092916087,0.03582932728610724,0.0,39.0,23.454545454545453,19.10687643945832,365.0727272727273,1,0,0,6,10,0,0,0,0.0,25.8,17.0,29.25,0,0,0,0,0,0,0,10,0,11,-1,245,3,0,0,0,0,0,1.5750210088724568E15,4.276743071865857E7,1.575021079335875E15,1.575020967696418E15,No Label
172.217.19.164-192.168.14.155-443-54334-6,172.217.19.164,443,192.168.14.155,54334,6,29/11/2019 02:51:19 PM,46,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43478.260869565216,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21739.130434782608,21739.130434782608,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.133-192.168.14.255-137-137-17,192.168.14.133,137,192.168.14.255,137,17,29/11/2019 02:49:19 PM,119513657,12,1,600.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,5.438708983693806,0.1087741796738761,9959471.416666664,1.4615380454393806E7,3.7469694E7,748054.0,1.18765375E8,1.0796852272727273E7,1.5023792863137672E7,3.7469694E7,748054.0,0,0,0,0,0,0,0,0,0,96,8,0.10040693508357794,0.008367244590298162,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.84615384615385,50.0,50.0,0,0,0,0,0,0,0,46,0,3,-1,-1,12,0,0,0,0,0,1.5750210153277555E15,3.794764455267199E7,1.575021077969522E15,1.575020959955989E15,No Label
192.168.14.155-35.241.24.90-33462-443-6,192.168.14.155,33462,35.241.24.90,443,6,29/11/2019 02:49:20 PM,105338533,23,33,3601.0,800.0,335.0,46.0,156.56521739130434,133.93072364165687,91.0,0.0,24.242424242424242,40.244588380792194,41.779583165450006,0.531619326804181,1915246.0545454544,4916510.941919322,1.4768557E7,54.0,1.05324805E8,4787491.136363638,6920278.973104587,1.4782574E7,54.0,1.05338533E8,3291829.1562500005,6125277.883345266,1.4782105E7,250.0,0,1,0,0,736,1056,0.2183436520802886,0.31327567472389234,0.0,335.0,78.59649122807016,110.49933090442589,12210.102130325811,0,0,0,32,56,0,0,0,1.0,80.0,156.56521739130434,24.242424242424242,0,0,0,0,4,1725,0,64,0,14,-1,1050,23,0,0,0,0,0,1.5750210126489518E15,3.378555241719506E7,1.575021065341783E15,1.575020960004424E15,No Label
172.217.169.227-192.168.14.155-443-60112-6,192.168.14.155,60112,172.217.169.227,443,6,29/11/2019 02:49:29 PM,111640401,6,4,102.0,117.0,39.0,0.0,17.0,19.411336893681487,39.0,0.0,29.25,19.5,1.9616554404887887,0.0895733077848762,1.2404489E7,2.4636659732009985E7,5.876177E7,12.0,1.11573832E8,2.23147664E7,3.0621951776748903E7,5.876177E7,32.0,5.8842104E7,1.9614034666666668E7,3.3952658077677906E7,5.8819185E7,12.0,0,1,0,0,192,128,0.05374398467092572,0.03582932311395048,0.0,39.0,23.454545454545453,19.10687643945832,365.0727272727273,1,0,0,6,10,0,0,0,0.0,25.8,17.0,29.25,0,0,0,0,0,0,0,10,0,11,-1,250,3,0,0,0,0,0,1.5750210108742555E15,4.2765350041545615E7,1.575021081336723E15,1.575020969696772E15,No Label
172.217.18.138-192.168.14.155-443-50680-6,192.168.14.155,50680,172.217.18.138,443,6,29/11/2019 02:49:29 PM,111640848,6,4,102.0,117.0,39.0,0.0,17.0,19.411336893681487,39.0,0.0,29.25,19.5,1.9616475861953322,0.08957294914133937,1.2404538666666666E7,2.463776902918377E7,5.87657E7,12.0,1.11578236E8,2.23156472E7,3.0622980982613854E7,5.87657E7,21.0,5.8842231E7,1.9614077E7,3.395301020675673E7,5.8819634E7,14.0,0,1,0,0,192,128,0.053743769484803625,0.03582917965653575,0.0,39.0,23.454545454545453,19.10687643945832,365.0727272727273,1,0,0,6,10,0,0,0,0.0,25.8,17.0,29.25,0,0,0,0,0,0,0,10,0,11,-1,248,3,0,0,0,0,0,1.5750210108736925E15,4.276687598502604E7,1.575021081336683E15,1.575020969696732E15,No Label
172.217.169.227-192.168.14.155-443-60112-6,172.217.169.227,443,192.168.14.155,60112,6,29/11/2019 02:51:21 PM,33,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60606.0606060606,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,30303.0303030303,30303.0303030303,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,250,0,0,0,0,0,0,0,0,0,0,No Label
